site,latitude,longitude,date,visit,date_mod,visit_mod,month,wet_season,tot_traps,n_catch,n_Mna,n_Rra,n_Mer,n_Mma,n_Pda,n_Pro,Mna_per_trap,Rra_per_trap,Rra_at_site,Mer_at_site,Mma_at_site,Pda_at_site,Pro_at_site,n_Mna_neg_lassa,n_Mna_pos_lassa,n_Mna_tested_lassa,data_source
Bamba,10.00055556,-13.885,2002-10-25,Oct-02,2002-10-25,1,10,1,566,58,0,21,34,0,0,1,0,0.037102473498233215,1,1,0,0,1,0,0,0,EFC
Bantou,10.054515147679323,-10.578665738396625,2003-05-24,May-03,2003-05-24,1,5,1,515,44,13,0,8,1,1,3,0.02524271844660194,0,0,1,1,1,1,12,1,13,EFC
Bantou,10.054515147679323,-10.578665738396625,2003-09-23,Oct-03,2003-09-23,2,9,1,1116,151,69,0,11,26,12,24,0.06182795698924731,0,0,1,1,1,1,53,15,68,EFC
Bantou,10.054515147679323,-10.578665738396625,2004-01-26,Jan-04,2004-01-26,3,1,0,1198,95,62,0,7,2,10,6,0.05175292153589316,0,0,1,1,1,1,39,2,41,EFC
Bantou,10.054515147679323,-10.578665738396625,2004-05-20,May-04,2004-05-20,4,5,1,1198,106,58,0,4,19,6,1,0.048414023372287146,0,0,1,1,1,1,46,8,54,EFC
Bantou,10.054515147679323,-10.578665738396625,2004-10-03,Oct-04,2004-10-03,5,10,1,1140,95,55,0,5,5,17,3,0.04824561403508772,0,0,1,1,1,1,47,7,54,EFC
Bantou,10.054515147679323,-10.578665738396625,2005-01-28,Jan-05,2005-01-28,6,1,0,1136,91,64,0,4,1,5,8,0.056338028169014086,0,0,1,1,1,1,59,5,64,EFC
Gagal,11.088055555555556,-12.2975,2003-05-30,May-03,2003-05-30,1,5,1,550,35,4,0,4,2,9,9,0.007272727272727273,0,0,1,1,1,1,4,0,4,EFC
Gagal,11.088055555555556,-12.2975,2003-10-10,Oct-03,2003-10-10,2,10,1,260,9,7,0,0,0,2,0,0.026923076923076925,0,0,0,0,1,0,7,0,7,EFC
Gania,10.066557407407409,-12.539639814814814,2004-06-06,May-04,2004-06-06,1,6,1,1200,86,0,5,47,9,0,1,0,0.004166666666666667,1,1,1,0,1,0,0,0,EFC
Gania,10.066557407407409,-12.539639814814814,2004-10-17,Oct-04,2004-10-17,2,10,1,1136,129,0,18,58,0,1,19,0,0.01584507042253521,1,1,0,1,1,0,0,0,EFC
Gania,10.066557407407409,-12.539639814814814,2005-02-04,Jan-05,2005-02-04,3,2,0,1139,74,1,5,28,1,3,8,8.77963125548727e-4,0.004389815627743635,1,1,1,1,1,0,0,0,EFC
Gayebombo,10.132314814814816,-13.590833333333334,2003-05-10,May-03,2003-05-10,1,5,1,559,28,0,0,19,0,0,2,0,0,0,1,0,0,1,0,0,0,EFC
Gbetaya,9.840833333333334,-11.04,2003-05-20,May-03,2003-05-20,1,5,1,640,69,42,0,2,1,0,8,0.065625,0,0,1,1,0,1,37,5,42,EFC
Kaali,9.930416666666666,-12.705972222222222,2003-10-11,Oct-03,2003-10-11,1,10,1,540,49,0,5,36,0,5,0,0,0.009259259259259259,1,1,0,1,0,0,0,0,EFC
Khoneya,10.14861111111111,-12.675833333333332,2004-01-20,Jan-04,2004-01-20,1,1,0,921,97,0,3,34,2,0,15,0,0.003257328990228013,1,1,1,0,1,0,0,0,EFC
Sangassou,8.61361111111111,-9.474166666666669,2004-02-05,Jan-04,2004-02-05,1,2,0,627,46,14,0,0,0,0,11,0.022328548644338118,0,0,0,0,0,1,14,0,14,EFC
Tanganya,10.000712298701298,-10.97318917748918,2003-10-02,Oct-03,2003-10-02,1,10,1,1200,115,74,0,1,17,6,10,0.06166666666666667,0,0,1,1,1,1,64,10,74,EFC
Tanganya,10.000712298701298,-10.97318917748918,2004-01-30,Jan-04,2004-01-30,2,1,0,1199,109,37,0,11,17,7,7,0.030859049207673062,0,0,1,1,1,1,24,4,28,EFC
Tanganya,10.000712298701298,-10.97318917748918,2004-05-28,May-04,2004-05-28,3,5,1,1205,85,36,0,8,19,0,2,0.02987551867219917,0,0,1,1,0,1,21,8,29,EFC
Tanganya,10.000712298701298,-10.97318917748918,2004-10-09,Oct-04,2004-10-09,4,10,1,1200,67,38,0,2,5,15,3,0.03166666666666667,0,0,1,1,1,1,36,2,38,EFC
Tanganya,10.000712298701298,-10.97318917748918,2005-01-24,Jan-05,2005-01-24,5,1,0,1134,102,53,0,15,8,7,4,0.04673721340388007,0,0,1,1,1,1,47,3,50,EFC
Yafraya,10.01194444,-13.67888889,2002-10-31,Oct-02,2002-10-31,1,10,1,407,28,0,24,3,0,0,0,0,0.05896805896805897,1,1,0,0,0,0,0,0,EFC
Badala,9.319729409561736,-11.540764070520316,2019-09-09,1,2019-09-09,1,9,1,455,6,0,2,0,0,0,0,0,0.004395604395604396,1,1,0,1,0,0,0,0,PREEMPT
Badala,9.319729409561736,-11.540764070520316,2019-11-09,2,2019-11-09,2,11,1,481,7,0,3,1,0,1,0,0,0.006237006237006237,1,1,0,1,0,0,0,0,PREEMPT
Badala,9.319729409561736,-11.540764070520316,2020-01-11,3,2020-01-11,3,1,0,470,3,2,0,1,0,0,0,0.00425531914893617,0,1,1,0,1,0,2,0,2,PREEMPT
Badala,9.319729409561736,-11.540764070520316,2020-03-05,4,2020-03-05,4,3,0,451,1,1,0,0,0,0,0,0.0022172949002217295,0,1,1,0,1,0,1,0,1,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,2019-09-07,1,2019-09-07,1,9,1,628,103,85,0,2,0,3,1,0.13535031847133758,0,0,1,0,1,1,81,4,85,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,2019-11-05,2,2019-11-05,2,11,1,588,112,94,0,8,0,2,1,0.1598639455782313,0,0,1,0,1,1,93,1,94,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,2020-01-08,3,2020-01-08,3,1,0,511,20,18,0,0,0,1,0,0.03522504892367906,0,0,1,0,1,1,18,0,18,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,2020-03-02,4,2020-03-02,4,3,0,573,29,29,0,0,0,0,0,0.0506108202443281,0,0,1,0,1,1,29,0,29,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,2020-12-02,5,2020-12-02,5,12,0,439,17,15,0,0,0,0,0,0.03416856492027335,0,0,1,0,1,1,15,0,15,PREEMPT
Barlie,8.019789811304502,-11.584217435203092,2019-07-12,1,2019-07-12,1,7,1,266,22,5,2,0,0,0,0,0.018796992481203006,0.007518796992481203,1,1,0,0,0,5,0,5,PREEMPT
Barlie,8.019789811304502,-11.584217435203092,2019-10-09,2,2019-10-09,2,10,1,266,8,0,2,0,0,0,0,0,0.007518796992481203,1,1,0,0,0,0,0,0,PREEMPT
Barlie,8.019789811304502,-11.584217435203092,2019-12-12,3,2019-12-12,3,12,0,283,1,1,0,0,0,0,0,0.0035335689045936395,0,1,1,0,0,0,1,0,1,PREEMPT
Barlie,8.019789811304502,-11.584217435203092,2020-02-05,4,2020-02-05,4,2,0,283,11,3,2,1,0,0,0,0.01060070671378092,0.007067137809187279,1,1,0,0,0,2,1,3,PREEMPT
Benduma,8.025988093218489,-11.5215033551764,2019-07-10,1,2019-07-10,1,7,1,220,5,4,1,0,0,0,0,0.01818181818181818,0.004545454545454545,1,0,0,0,0,4,0,4,PREEMPT
Benduma,8.025988093218489,-11.5215033551764,2019-10-13,2,2019-10-13,2,10,1,220,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PREEMPT
Benduma,8.025988093218489,-11.5215033551764,2019-12-14,3,2019-12-14,3,12,0,250,7,3,0,0,0,0,0,0.012,0,1,0,0,0,0,3,0,3,PREEMPT
Benduma,8.025988093218489,-11.5215033551764,2020-02-07,4,2020-02-07,4,2,0,242,7,4,1,0,0,0,0,0.01652892561983471,0.004132231404958678,1,0,0,0,0,4,0,4,PREEMPT
Gbainkfay,9.298792228749834,-12.256579280914396,2021-01-13,5,2021-01-13,1,1,0,272,16,0,9,2,0,1,1,0,0.03308823529411765,1,1,0,1,1,0,0,0,PREEMPT
Gbenikoro,9.62299969233059,-11.4718678469135,2019-08-30,1,2019-08-30,1,8,1,211,15,6,0,0,0,0,3,0.02843601895734597,0,0,0,0,0,1,6,0,6,PREEMPT
Guala,8.124279286783235,-11.235621660915578,2019-08-17,1,2019-08-17,1,8,1,410,18,0,11,0,0,0,0,0,0.026829268292682926,1,0,0,0,1,0,0,0,PREEMPT
Guala,8.124279286783235,-11.235621660915578,2019-10-22,2,2019-10-22,2,10,1,417,19,5,2,0,0,0,1,0.011990407673860911,0.004796163069544364,1,0,0,0,1,5,0,5,PREEMPT
Guala,8.124279286783235,-11.235621660915578,2019-12-18,3,2019-12-18,3,12,0,432,9,0,2,0,0,0,1,0,0.004629629629629629,1,0,0,0,1,0,0,0,PREEMPT
Guala,8.124279286783235,-11.235621660915578,2020-02-20,4,2020-02-20,4,2,0,408,6,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,PREEMPT
Kapethe,8.9862061417923,-11.982410632675997,2019-07-30,1,2019-07-30,1,7,1,262,13,0,5,0,0,0,0,0,0.019083969465648856,1,1,0,0,0,0,0,0,PREEMPT
Kapethe,8.9862061417923,-11.982410632675997,2019-10-01,2,2019-10-01,2,10,1,276,10,4,2,0,0,0,0,0.014492753623188406,0.007246376811594203,1,1,0,0,0,2,2,4,PREEMPT
Kapethe,8.9862061417923,-11.982410632675997,2019-12-05,3,2019-12-05,3,12,0,275,8,2,1,1,0,0,0,0.007272727272727273,0.0036363636363636364,1,1,0,0,0,2,0,2,PREEMPT
Kapethe,8.9862061417923,-11.982410632675997,2020-01-20,4,2020-01-20,4,1,0,262,8,1,2,1,0,0,0,0.003816793893129771,0.007633587786259542,1,1,0,0,0,1,0,1,PREEMPT
Largo,8.051547331161421,-11.103385534172824,2019-07-15,1,2019-07-15,1,7,1,458,6,4,0,0,0,0,0,0.008733624454148471,0,1,1,0,0,0,4,0,4,PREEMPT
Largo,8.051547331161421,-11.103385534172824,2019-10-26,2,2019-10-26,2,10,1,506,18,7,1,1,0,0,0,0.01383399209486166,0.001976284584980237,1,1,0,0,0,5,2,7,PREEMPT
Largo,8.051547331161421,-11.103385534172824,2019-12-16,3,2019-12-16,3,12,0,482,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,PREEMPT
Largo,8.051547331161421,-11.103385534172824,2020-02-18,4,2020-02-18,4,2,0,500,5,4,1,0,0,0,0,0.008,0.002,1,1,0,0,0,3,1,4,PREEMPT
Makump,8.805581045422798,-12.03982493380907,2019-08-01,1,2019-08-01,1,8,1,395,16,4,1,4,0,0,1,0.010126582278481013,0.002531645569620253,1,1,0,0,1,3,1,4,PREEMPT
Makump,8.805581045422798,-12.03982493380907,2019-10-05,2,2019-10-05,2,10,1,357,7,1,0,2,0,0,2,0.0028011204481792717,0,1,1,0,0,1,1,0,1,PREEMPT
Makuna,8.748832258264692,-11.984298413011164,2019-08-03,1,2019-08-03,1,8,1,190,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,PREEMPT
Makuna,8.748832258264692,-11.984298413011164,2019-10-03,2,2019-10-03,2,10,1,192,7,1,0,0,0,0,2,0.005208333333333333,0,0,1,0,0,1,1,0,1,PREEMPT
Makuna,8.748832258264692,-11.984298413011164,2019-12-06,3,2019-12-06,3,12,0,194,4,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,PREEMPT
Makuna,8.748832258264692,-11.984298413011164,2020-01-27,4,2020-01-27,4,1,0,203,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,PREEMPT
Mokorie,8.207852394264012,-12.058048705581529,2020-12-15,5,2020-12-15,1,12,0,284,15,1,9,2,0,0,3,0.0035211267605633804,0.03169014084507042,1,1,0,0,1,1,0,1,PREEMPT
Naiawama,7.8694422230075105,-11.04104693769143,2020-11-17,5,2020-11-17,1,11,1,250,15,7,2,0,0,0,0,0.028,0.008,1,0,0,0,0,7,0,7,PREEMPT
Njaguima,8.424344884832752,-11.642931353759266,2019-08-14,1,2019-08-14,1,8,1,98,2,0,1,0,0,0,0,0,0.01020408163265306,1,1,0,0,1,0,0,0,PREEMPT
Njaguima,8.424344884832752,-11.642931353759266,2019-10-11,2,2019-10-11,2,10,1,104,10,1,0,1,0,0,4,0.009615384615384616,0,1,1,0,0,1,1,0,1,PREEMPT
Njaguima,8.424344884832752,-11.642931353759266,2019-12-10,3,2019-12-10,3,12,0,104,7,1,0,2,0,0,1,0.009615384615384616,0,1,1,0,0,1,1,0,1,PREEMPT
Njaguima,8.424344884832752,-11.642931353759266,2020-02-03,4,2020-02-03,4,2,0,98,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,PREEMPT
Petema,7.747475128890135,-11.628258155737251,2021-01-26,5,2021-01-26,1,1,0,381,7,0,3,0,0,0,0,0,0.007874015748031496,1,0,0,0,0,0,0,0,PREEMPT
Talama,8.195003613146277,-11.12266698403304,NA,1,2019-08-15,1,NA,1,170,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,PREEMPT
Talama,8.195003613146277,-11.12266698403304,2019-10-24,2,2019-10-24,2,10,1,170,3,1,0,1,0,0,0,0.0058823529411764705,0,0,1,0,0,0,1,0,1,PREEMPT
Talama,8.195003613146277,-11.12266698403304,2019-12-20,3,2019-12-20,3,12,0,170,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,PREEMPT
Talama,8.195003613146277,-11.12266698403304,2020-02-22,4,2020-02-22,4,2,0,156,8,7,0,0,0,0,0,0.04487179487179487,0,0,1,0,0,0,7,0,7,PREEMPT
Yekeyor,8.576877642939278,-10.878485814424144,2021-02-09,5,2021-02-09,1,2,0,660,12,2,5,1,0,0,0,0.0030303030303030303,0.007575757575757576,1,1,0,0,0,2,0,2,PREEMPT
