site,date,species,animal_id,line_number,S_accession,L_accession
Makump,8/2/19,Mastomys natalensis,00052,IT2,OM735988,OM735989
Bafodia,9/7/19,Mastomys natalensis,00106,H22,OM735986,OM735987
Bafodia,9/8/19,Mastomys natalensis,00187,IT2,OM735984,OM735985
Bafodia,9/8/19,Mastomys natalensis,00188,IT2,OM735982,OM735983
Bafodia,9/8/19,Mastomys natalensis,00189,IT2,,
Bafodia,9/8/19,Mastomys natalensis,00190,H34,,
Bafodia,9/8/19,Mastomys natalensis,00199,H47,,
Bafodia,9/8/19,Mastomys natalensis,00203,H34,,
Bafodia,9/8/19,Mastomys natalensis,00204,H29,OM735980,OM735981
Bafodia,9/8/19,Mastomys natalensis,00205,H2,,
Kapethe,10/3/19,Mastomys natalensis,00214,H4,OM735978,OM735979
Kapethe,10/3/19,Mastomys natalensis,00217,IT1,OM735976,OM735977
Largo,10/27/19,Mastomys natalensis,00291,H18,OM735972,OM735973
Largo,10/27/19,Mastomys natalensis,00292,H15,OM735970,OM735971
Bafodia,11/6/19,Mastomys natalensis,00303,IT1,OM735968,OM735969
Bafodia,11/6/19,Mastomys natalensis,00304,H25,,
Barlie,2/5/20,Mastomys natalensis,00512,OT1,OM791220,OM791219
Largo,2/18/20,Mastomys natalensis,00521,H12,OM791222,OM791221
Talama,2/22/20,Mastomys natalensis,00531,OT1,,