"date","site","visit","track_id","habitat_code","house_id","tot_traps","n_Mna","Mna_per_trap","Rra_at_site"
"2019-09-09","Badala",1,"H1","H","Badala-1-H1",6,0,0,1
"2019-09-09","Badala",1,"H2","H","Badala-1-H2",6,0,0,1
"2019-09-09","Badala",1,"H3","H","Badala-1-H3",6,0,0,1
"2019-09-09","Badala",1,"H4","H","Badala-1-H4",6,0,0,1
"2019-09-09","Badala",1,"H5","H","Badala-1-H5",6,0,0,1
"2019-09-09","Badala",1,"H6","H","Badala-1-H6",6,0,0,1
"2019-09-09","Badala",1,"H7","H","Badala-1-H7",6,0,0,1
"2019-09-09","Badala",1,"H8","H","Badala-1-H8",6,0,0,1
"2019-09-09","Badala",1,"H9","H","Badala-1-H9",6,0,0,1
"2019-09-09","Badala",1,"H10","H","Badala-1-H10",6,0,0,1
"2019-09-09","Badala",1,"H11","H","Badala-1-H11",6,0,0,1
"2019-09-09","Badala",1,"H12","H","Badala-1-H12",6,0,0,1
"2019-09-09","Badala",1,"H13","H","Badala-1-H13",6,0,0,1
"2019-09-09","Badala",1,"H14","H","Badala-1-H14",6,0,0,1
"2019-11-09","Badala",2,"H1","H","Badala-2-H1",5,0,0,1
"2019-11-09","Badala",2,"H2","H","Badala-2-H2",6,0,0,1
"2019-11-09","Badala",2,"H3","H","Badala-2-H3",6,0,0,1
"2019-11-09","Badala",2,"H4","H","Badala-2-H4",4,0,0,1
"2019-11-09","Badala",2,"H5","H","Badala-2-H5",6,0,0,1
"2019-11-09","Badala",2,"H6","H","Badala-2-H6",6,0,0,1
"2019-11-09","Badala",2,"H7","H","Badala-2-H7",6,0,0,1
"2019-11-09","Badala",2,"H8","H","Badala-2-H8",6,0,0,1
"2019-11-09","Badala",2,"H9","H","Badala-2-H9",6,0,0,1
"2019-11-09","Badala",2,"H10","H","Badala-2-H10",6,0,0,1
"2019-11-09","Badala",2,"H11","H","Badala-2-H11",6,0,0,1
"2019-11-09","Badala",2,"H12","H","Badala-2-H12",6,0,0,1
"2019-11-09","Badala",2,"H13","H","Badala-2-H13",6,0,0,1
"2019-11-09","Badala",2,"H14","H","Badala-2-H14",6,0,0,1
"2020-01-11","Badala",3,"H1","H","Badala-3-H1",6,0,0,1
"2020-01-11","Badala",3,"H2","H","Badala-3-H2",6,0,0,1
"2020-01-11","Badala",3,"H3","H","Badala-3-H3",6,0,0,1
"2020-01-11","Badala",3,"H4","H","Badala-3-H4",6,0,0,1
"2020-01-11","Badala",3,"H5","H","Badala-3-H5",6,0,0,1
"2020-01-11","Badala",3,"H6","H","Badala-3-H6",6,0,0,1
"2020-01-11","Badala",3,"H7","H","Badala-3-H7",6,0,0,1
"2020-01-11","Badala",3,"H8","H","Badala-3-H8",5,0,0,1
"2020-01-11","Badala",3,"H9","H","Badala-3-H9",6,0,0,1
"2020-01-11","Badala",3,"H10","H","Badala-3-H10",6,0,0,1
"2020-01-11","Badala",3,"H11","H","Badala-3-H11",6,0,0,1
"2020-01-11","Badala",3,"H12","H","Badala-3-H12",6,0,0,1
"2020-01-11","Badala",3,"H13","H","Badala-3-H13",6,0,0,1
"2020-01-11","Badala",3,"H14","H","Badala-3-H14",6,0,0,1
"2020-03-05","Badala",4,"H1","H","Badala-4-H1",5,0,0,1
"2020-03-05","Badala",4,"H2","H","Badala-4-H2",6,0,0,1
"2020-03-05","Badala",4,"H3","H","Badala-4-H3",6,0,0,1
"2020-03-05","Badala",4,"H4","H","Badala-4-H4",6,0,0,1
"2020-03-05","Badala",4,"H5","H","Badala-4-H5",6,0,0,1
"2020-03-05","Badala",4,"H6","H","Badala-4-H6",6,0,0,1
"2020-03-05","Badala",4,"H7","H","Badala-4-H7",6,0,0,1
"2020-03-05","Badala",4,"H8","H","Badala-4-H8",6,0,0,1
"2020-03-05","Badala",4,"H9","H","Badala-4-H9",6,0,0,1
"2019-09-07","Bafodia",1,"H1","H","Bafodia-1-H1",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H2","H","Bafodia-1-H2",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H3","H","Bafodia-1-H3",6,2,0.3333333333333333,0
"2019-09-07","Bafodia",1,"H4","H","Bafodia-1-H4",6,0,0,0
"2019-09-07","Bafodia",1,"H5","H","Bafodia-1-H5",6,2,0.3333333333333333,0
"2019-09-07","Bafodia",1,"H6","H","Bafodia-1-H6",6,0,0,0
"2019-09-07","Bafodia",1,"H7","H","Bafodia-1-H7",6,0,0,0
"2019-09-07","Bafodia",1,"H8","H","Bafodia-1-H8",6,3,0.5,0
"2019-09-07","Bafodia",1,"H9","H","Bafodia-1-H9",6,0,0,0
"2019-09-07","Bafodia",1,"H10","H","Bafodia-1-H10",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H11","H","Bafodia-1-H11",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H12","H","Bafodia-1-H12",6,2,0.3333333333333333,0
"2019-09-07","Bafodia",1,"H13","H","Bafodia-1-H13",6,2,0.3333333333333333,0
"2019-09-07","Bafodia",1,"H14","H","Bafodia-1-H14",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H15","H","Bafodia-1-H15",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H16","H","Bafodia-1-H16",6,0,0,0
"2019-09-07","Bafodia",1,"H17","H","Bafodia-1-H17",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H18","H","Bafodia-1-H18",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H19","H","Bafodia-1-H19",6,0,0,0
"2019-09-07","Bafodia",1,"H20","H","Bafodia-1-H20",6,2,0.3333333333333333,0
"2019-09-07","Bafodia",1,"H21","H","Bafodia-1-H21",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H22","H","Bafodia-1-H22",3,2,0.6666666666666666,0
"2019-09-07","Bafodia",1,"H23","H","Bafodia-1-H23",5,2,0.4,0
"2019-09-07","Bafodia",1,"H24","H","Bafodia-1-H24",3,0,0,0
"2019-09-07","Bafodia",1,"H25","H","Bafodia-1-H25",5,0,0,0
"2019-09-07","Bafodia",1,"H26","H","Bafodia-1-H26",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H27","H","Bafodia-1-H27",6,0,0,0
"2019-09-07","Bafodia",1,"H28","H","Bafodia-1-H28",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H29","H","Bafodia-1-H29",6,2,0.3333333333333333,0
"2019-09-07","Bafodia",1,"H30","H","Bafodia-1-H30",6,0,0,0
"2019-09-07","Bafodia",1,"H31","H","Bafodia-1-H31",6,2,0.3333333333333333,0
"2019-09-07","Bafodia",1,"H32","H","Bafodia-1-H32",6,0,0,0
"2019-09-07","Bafodia",1,"H33","H","Bafodia-1-H33",6,0,0,0
"2019-09-07","Bafodia",1,"H34","H","Bafodia-1-H34",6,2,0.3333333333333333,0
"2019-09-07","Bafodia",1,"H35","H","Bafodia-1-H35",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H36","H","Bafodia-1-H36",5,0,0,0
"2019-09-07","Bafodia",1,"H37","H","Bafodia-1-H37",5,1,0.2,0
"2019-09-07","Bafodia",1,"H38","H","Bafodia-1-H38",4,1,0.25,0
"2019-09-07","Bafodia",1,"H39","H","Bafodia-1-H39",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H40","H","Bafodia-1-H40",6,3,0.5,0
"2019-09-07","Bafodia",1,"H41","H","Bafodia-1-H41",3,3,1,0
"2019-09-07","Bafodia",1,"H42","H","Bafodia-1-H42",6,0,0,0
"2019-09-07","Bafodia",1,"H43","H","Bafodia-1-H43",6,2,0.3333333333333333,0
"2019-09-07","Bafodia",1,"H44","H","Bafodia-1-H44",5,3,0.6,0
"2019-09-07","Bafodia",1,"H45","H","Bafodia-1-H45",6,1,0.16666666666666666,0
"2019-09-07","Bafodia",1,"H46","H","Bafodia-1-H46",6,2,0.3333333333333333,0
"2019-09-07","Bafodia",1,"H47","H","Bafodia-1-H47",6,2,0.3333333333333333,0
"2019-09-07","Bafodia",1,"H48","H","Bafodia-1-H48",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H1","H","Bafodia-2-H1",6,3,0.5,0
"2019-11-05","Bafodia",2,"H2","H","Bafodia-2-H2",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H3","H","Bafodia-2-H3",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H4","H","Bafodia-2-H4",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H5","H","Bafodia-2-H5",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H6","H","Bafodia-2-H6",6,2,0.3333333333333333,0
"2019-11-05","Bafodia",2,"H7","H","Bafodia-2-H7",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H8","H","Bafodia-2-H8",6,2,0.3333333333333333,0
"2019-11-05","Bafodia",2,"H9","H","Bafodia-2-H9",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H10","H","Bafodia-2-H10",6,3,0.5,0
"2019-11-05","Bafodia",2,"H11","H","Bafodia-2-H11",6,3,0.5,0
"2019-11-05","Bafodia",2,"H12","H","Bafodia-2-H12",6,2,0.3333333333333333,0
"2019-11-05","Bafodia",2,"H13","H","Bafodia-2-H13",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H14","H","Bafodia-2-H14",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H15","H","Bafodia-2-H15",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H16","H","Bafodia-2-H16",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H17","H","Bafodia-2-H17",6,3,0.5,0
"2019-11-05","Bafodia",2,"H18","H","Bafodia-2-H18",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H19","H","Bafodia-2-H19",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H20","H","Bafodia-2-H20",6,0,0,0
"2019-11-05","Bafodia",2,"H21","H","Bafodia-2-H21",5,1,0.2,0
"2019-11-05","Bafodia",2,"H22","H","Bafodia-2-H22",6,2,0.3333333333333333,0
"2019-11-05","Bafodia",2,"H23","H","Bafodia-2-H23",6,3,0.5,0
"2019-11-05","Bafodia",2,"H24","H","Bafodia-2-H24",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H25","H","Bafodia-2-H25",6,5,0.8333333333333334,0
"2019-11-05","Bafodia",2,"H26","H","Bafodia-2-H26",6,3,0.5,0
"2019-11-05","Bafodia",2,"H27","H","Bafodia-2-H27",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H28","H","Bafodia-2-H28",6,2,0.3333333333333333,0
"2019-11-05","Bafodia",2,"H29","H","Bafodia-2-H29",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H30","H","Bafodia-2-H30",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H31","H","Bafodia-2-H31",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H32","H","Bafodia-2-H32",6,3,0.5,0
"2019-11-05","Bafodia",2,"H33","H","Bafodia-2-H33",6,1,0.16666666666666666,0
"2019-11-05","Bafodia",2,"H34","H","Bafodia-2-H34",6,2,0.3333333333333333,0
"2019-11-05","Bafodia",2,"H35","H","Bafodia-2-H35",6,0,0,0
"2019-11-05","Bafodia",2,"H36","H","Bafodia-2-H36",5,0,0,0
"2020-01-08","Bafodia",3,"H1","H","Bafodia-3-H1",6,0,0,0
"2020-01-08","Bafodia",3,"H2","H","Bafodia-3-H2",6,0,0,0
"2020-01-08","Bafodia",3,"H3","H","Bafodia-3-H3",6,1,0.16666666666666666,0
"2020-01-08","Bafodia",3,"H4","H","Bafodia-3-H4",6,0,0,0
"2020-01-08","Bafodia",3,"H5","H","Bafodia-3-H5",6,0,0,0
"2020-01-08","Bafodia",3,"H6","H","Bafodia-3-H6",6,0,0,0
"2020-01-08","Bafodia",3,"H7","H","Bafodia-3-H7",6,1,0.16666666666666666,0
"2020-01-08","Bafodia",3,"H8","H","Bafodia-3-H8",6,0,0,0
"2020-01-08","Bafodia",3,"H9","H","Bafodia-3-H9",6,1,0.16666666666666666,0
"2020-01-08","Bafodia",3,"H10","H","Bafodia-3-H10",6,0,0,0
"2020-01-08","Bafodia",3,"H11","H","Bafodia-3-H11",6,1,0.16666666666666666,0
"2020-01-08","Bafodia",3,"H12","H","Bafodia-3-H12",6,0,0,0
"2020-01-08","Bafodia",3,"H13","H","Bafodia-3-H13",6,3,0.5,0
"2020-01-08","Bafodia",3,"H14","H","Bafodia-3-H14",6,1,0.16666666666666666,0
"2020-01-08","Bafodia",3,"H15","H","Bafodia-3-H15",6,1,0.16666666666666666,0
"2020-01-08","Bafodia",3,"H16","H","Bafodia-3-H16",6,0,0,0
"2020-01-08","Bafodia",3,"H17","H","Bafodia-3-H17",6,0,0,0
"2020-01-08","Bafodia",3,"H18","H","Bafodia-3-H18",6,1,0.16666666666666666,0
"2020-01-08","Bafodia",3,"H19","H","Bafodia-3-H19",6,3,0.5,0
"2020-01-08","Bafodia",3,"H20","H","Bafodia-3-H20",6,1,0.16666666666666666,0
"2020-03-02","Bafodia",4,"H1","H","Bafodia-4-H1",6,1,0.16666666666666666,0
"2020-03-02","Bafodia",4,"H2","H","Bafodia-4-H2",6,1,0.16666666666666666,0
"2020-03-02","Bafodia",4,"H3","H","Bafodia-4-H3",6,3,0.5,0
"2020-03-02","Bafodia",4,"H4","H","Bafodia-4-H4",6,2,0.3333333333333333,0
"2020-03-02","Bafodia",4,"H5","H","Bafodia-4-H5",6,2,0.3333333333333333,0
"2020-03-02","Bafodia",4,"H6","H","Bafodia-4-H6",6,1,0.16666666666666666,0
"2020-03-02","Bafodia",4,"H7","H","Bafodia-4-H7",6,1,0.16666666666666666,0
"2020-03-02","Bafodia",4,"H8","H","Bafodia-4-H8",6,2,0.3333333333333333,0
"2020-03-02","Bafodia",4,"H9","H","Bafodia-4-H9",6,2,0.3333333333333333,0
"2020-03-02","Bafodia",4,"H10","H","Bafodia-4-H10",6,1,0.16666666666666666,0
"2020-03-02","Bafodia",4,"H11","H","Bafodia-4-H11",6,2,0.3333333333333333,0
"2020-03-02","Bafodia",4,"H12","H","Bafodia-4-H12",6,2,0.3333333333333333,0
"2020-03-02","Bafodia",4,"H13","H","Bafodia-4-H13",6,1,0.16666666666666666,0
"2020-03-02","Bafodia",4,"H14","H","Bafodia-4-H14",6,1,0.16666666666666666,0
"2020-03-02","Bafodia",4,"H15","H","Bafodia-4-H15",5,3,0.6,0
"2020-03-02","Bafodia",4,"H16","H","Bafodia-4-H16",6,1,0.16666666666666666,0
"2020-03-02","Bafodia",4,"H17","H","Bafodia-4-H17",6,2,0.3333333333333333,0
"2020-03-02","Bafodia",4,"H18","H","Bafodia-4-H18",5,1,0.2,0
"2020-03-02","Bafodia",4,"H19","H","Bafodia-4-H19",6,0,0,0
"2020-03-02","Bafodia",4,"H20","H","Bafodia-4-H20",6,0,0,0
"2020-03-02","Bafodia",4,"H21","H","Bafodia-4-H21",3,0,0,0
"2020-03-02","Bafodia",4,"H22","H","Bafodia-4-H22",6,0,0,0
"2020-03-02","Bafodia",4,"H23","H","Bafodia-4-H23",6,0,0,0
"2020-03-02","Bafodia",4,"H24","H","Bafodia-4-H24",6,0,0,0
"2020-03-02","Bafodia",4,"H25","H","Bafodia-4-H25",4,0,0,0
"2020-03-02","Bafodia",4,"H26","H","Bafodia-4-H26",6,0,0,0
"2020-03-02","Bafodia",4,"H27","H","Bafodia-4-H27",6,0,0,0
"2020-03-02","Bafodia",4,"H28","H","Bafodia-4-H28",6,0,0,0
"2020-03-02","Bafodia",4,"H29","H","Bafodia-4-H29",6,0,0,0
"2020-03-02","Bafodia",4,"H30","H","Bafodia-4-H30",6,0,0,0
"2020-12-02","Bafodia",5,"H1","H","Bafodia-5-H1",5,1,0.2,0
"2020-12-02","Bafodia",5,"H2","H","Bafodia-5-H2",6,1,0.16666666666666666,0
"2020-12-02","Bafodia",5,"H3","H","Bafodia-5-H3",6,2,0.3333333333333333,0
"2020-12-02","Bafodia",5,"H4","H","Bafodia-5-H4",6,1,0.16666666666666666,0
"2020-12-02","Bafodia",5,"H5","H","Bafodia-5-H5",6,1,0.16666666666666666,0
"2020-12-02","Bafodia",5,"H6","H","Bafodia-5-H6",6,1,0.16666666666666666,0
"2020-12-02","Bafodia",5,"H7","H","Bafodia-5-H7",6,1,0.16666666666666666,0
"2020-12-02","Bafodia",5,"H8","H","Bafodia-5-H8",6,1,0.16666666666666666,0
"2020-12-02","Bafodia",5,"H9","H","Bafodia-5-H9",6,1,0.16666666666666666,0
"2020-12-02","Bafodia",5,"H10","H","Bafodia-5-H10",5,0,0,0
"2019-07-12","Barlie",1,"H1","H","Barlie-1-H1",6,0,0,1
"2019-07-12","Barlie",1,"H2","H","Barlie-1-H2",6,0,0,1
"2019-07-12","Barlie",1,"H3","H","Barlie-1-H3",6,0,0,1
"2019-07-12","Barlie",1,"H4","H","Barlie-1-H4",6,0,0,1
"2019-07-12","Barlie",1,"H5","H","Barlie-1-H5",6,0,0,1
"2019-07-12","Barlie",1,"H6","H","Barlie-1-H6",6,0,0,1
"2019-07-12","Barlie",1,"H7","H","Barlie-1-H7",6,1,0.16666666666666666,1
"2019-07-12","Barlie",1,"H8","H","Barlie-1-H8",6,0,0,1
"2019-07-12","Barlie",1,"H9","H","Barlie-1-H9",6,0,0,1
"2019-07-12","Barlie",1,"H10","H","Barlie-1-H10",4,0,0,1
"2019-10-09","Barlie",2,"H1","H","Barlie-2-H1",6,0,0,1
"2019-10-09","Barlie",2,"H2","H","Barlie-2-H2",6,0,0,1
"2019-10-09","Barlie",2,"H3","H","Barlie-2-H3",6,0,0,1
"2019-10-09","Barlie",2,"H4","H","Barlie-2-H4",6,0,0,1
"2019-10-09","Barlie",2,"H5","H","Barlie-2-H5",6,0,0,1
"2019-10-09","Barlie",2,"H6","H","Barlie-2-H6",6,0,0,1
"2019-10-09","Barlie",2,"H7","H","Barlie-2-H7",6,0,0,1
"2019-12-12","Barlie",3,"H1","H","Barlie-3-H1",6,0,0,1
"2019-12-12","Barlie",3,"H2","H","Barlie-3-H2",6,0,0,1
"2019-12-12","Barlie",3,"H3","H","Barlie-3-H3",6,1,0.16666666666666666,1
"2019-12-12","Barlie",3,"H4","H","Barlie-3-H4",6,0,0,1
"2019-12-12","Barlie",3,"H5","H","Barlie-3-H5",6,0,0,1
"2019-12-12","Barlie",3,"H6","H","Barlie-3-H6",6,0,0,1
"2019-12-12","Barlie",3,"H7","H","Barlie-3-H7",6,0,0,1
"2019-12-12","Barlie",3,"H8","H","Barlie-3-H8",6,0,0,1
"2019-12-12","Barlie",3,"H9","H","Barlie-3-H9",6,0,0,1
"2019-12-12","Barlie",3,"H10","H","Barlie-3-H10",6,0,0,1
"2020-02-05","Barlie",4,"H1","H","Barlie-4-H1",6,0,0,1
"2020-02-05","Barlie",4,"H2","H","Barlie-4-H2",6,0,0,1
"2020-02-05","Barlie",4,"H3","H","Barlie-4-H3",6,0,0,1
"2020-02-05","Barlie",4,"H4","H","Barlie-4-H4",6,0,0,1
"2020-02-05","Barlie",4,"H5","H","Barlie-4-H5",6,0,0,1
"2020-02-05","Barlie",4,"H6","H","Barlie-4-H6",6,0,0,1
"2020-02-05","Barlie",4,"H7","H","Barlie-4-H7",6,0,0,1
"2020-02-05","Barlie",4,"H8","H","Barlie-4-H8",6,0,0,1
"2020-02-05","Barlie",4,"H9","H","Barlie-4-H9",6,0,0,1
"2020-02-05","Barlie",4,"H10","H","Barlie-4-H10",6,0,0,1
"2019-07-10","Benduma",1,"H1","H","Benduma-1-H1",6,0,0,1
"2019-07-10","Benduma",1,"H2","H","Benduma-1-H2",5,1,0.2,1
"2019-07-10","Benduma",1,"H3","H","Benduma-1-H3",4,0,0,1
"2019-07-10","Benduma",1,"H4","H","Benduma-1-H4",5,0,0,1
"2019-07-10","Benduma",1,"H5","H","Benduma-1-H5",4,0,0,1
"2019-07-10","Benduma",1,"H6","H","Benduma-1-H6",6,0,0,1
"2019-07-10","Benduma",1,"H7","H","Benduma-1-H7",5,0,0,1
"2019-07-10","Benduma",1,"H8","H","Benduma-1-H8",6,0,0,1
"2019-07-10","Benduma",1,"H9","H","Benduma-1-H9",6,1,0.16666666666666666,1
"2019-07-10","Benduma",1,"H10","H","Benduma-1-H10",6,0,0,1
"2019-07-10","Benduma",1,"H11","H","Benduma-1-H11",6,0,0,1
"2019-07-10","Benduma",1,"H12","H","Benduma-1-H12",6,1,0.16666666666666666,1
"2019-07-10","Benduma",1,"H13","H","Benduma-1-H13",6,0,0,1
"2019-07-10","Benduma",1,"H14","H","Benduma-1-H14",6,0,0,1
"2019-07-10","Benduma",1,"H15","H","Benduma-1-H15",5,0,0,1
"2019-10-13","Benduma",2,"H1","H","Benduma-2-H1",6,0,0,1
"2019-10-13","Benduma",2,"H2","H","Benduma-2-H2",6,0,0,1
"2019-10-13","Benduma",2,"H3","H","Benduma-2-H3",6,0,0,1
"2019-10-13","Benduma",2,"H4","H","Benduma-2-H4",6,0,0,1
"2019-10-13","Benduma",2,"H5","H","Benduma-2-H5",6,0,0,1
"2019-10-13","Benduma",2,"H6","H","Benduma-2-H6",6,0,0,1
"2019-10-13","Benduma",2,"H7","H","Benduma-2-H7",6,0,0,1
"2019-10-13","Benduma",2,"H8","H","Benduma-2-H8",6,0,0,1
"2019-10-13","Benduma",2,"H9","H","Benduma-2-H9",6,0,0,1
"2019-10-13","Benduma",2,"H10","H","Benduma-2-H10",6,0,0,1
"2019-12-14","Benduma",3,"H1","H","Benduma-3-H1",6,0,0,1
"2019-12-14","Benduma",3,"H2","H","Benduma-3-H2",6,0,0,1
"2019-12-14","Benduma",3,"H3","H","Benduma-3-H3",6,0,0,1
"2019-12-14","Benduma",3,"H4","H","Benduma-3-H4",6,1,0.16666666666666666,1
"2019-12-14","Benduma",3,"H5","H","Benduma-3-H5",6,2,0.3333333333333333,1
"2019-12-14","Benduma",3,"H6","H","Benduma-3-H6",6,0,0,1
"2019-12-14","Benduma",3,"H7","H","Benduma-3-H7",6,0,0,1
"2019-12-14","Benduma",3,"H8","H","Benduma-3-H8",6,0,0,1
"2019-12-14","Benduma",3,"H9","H","Benduma-3-H9",6,0,0,1
"2019-12-14","Benduma",3,"H10","H","Benduma-3-H10",6,0,0,1
"2019-12-14","Benduma",3,"H11","H","Benduma-3-H11",6,0,0,1
"2019-12-14","Benduma",3,"H12","H","Benduma-3-H12",6,0,0,1
